"NombreMunicipio","CodigoMunicipio","Ubicación","NombreRegion","CodigoRegion","Anio","CausaMortalidad","TipoPoblacionObjetivo","NumeroPoblacionObjetivo","NumeroCasos"
"Envigado","05266","POINT (-75.587333 6.16996)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","178,564","10"
"Fredonia","05282","POINT (-75.671749 5.927145)","SUROESTE","8","2006","Suicidios","Poblacion total","24,291","2"
"Frontino","05284","POINT (-76.128568 6.77975)","OCCIDENTE","6","2006","Suicidios","Poblacion total","22,663","2"
"Giraldo","05306","POINT (-75.953365 6.680421)","OCCIDENTE","6","2006","Suicidios","Poblacion total","4,952","1"
"Girardota","05308","POINT (-75.446101 6.377536)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","41,924","2"
"Gómez Plata","05310","POINT (-75.219375 6.681523)","NORTE","5","2006","Suicidios","Poblacion total","9,626","2"
"Granada","05313","POINT (-75.18443 6.14432)","ORIENTE","7","2006","Suicidios","Poblacion total","13,575","2"
"Guadalupe","05315","POINT (-75.240458 6.814987)","NORTE","5","2006","Suicidios","Poblacion total","6,557","1"
"Guarne","05318","POINT (-75.442619 6.279958)","ORIENTE","7","2006","Suicidios","Poblacion total","44,247","4"
"Guatapé","05321","POINT (-75.161723 6.234276)","ORIENTE","7","2006","Suicidios","Poblacion total","6,852","0"
"Heliconia","05347","POINT (-75.733349 6.207128)","OCCIDENTE","6","2006","Suicidios","Poblacion total","6,411","0"
"Hispania","05353","POINT (-75.907416 5.799621)","SUROESTE","8","2006","Suicidios","Poblacion total","5,328","0"
"Itagüí","05360","POINT (-75.609585 6.172619)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","225,978","10"
"Ituango","05361","POINT (-75.764081 7.172568)","NORTE","5","2006","Suicidios","Poblacion total","26,043","0"
"Jardín","05364","POINT (-75.819483 5.599097)","SUROESTE","8","2006","Suicidios","Poblacion total","13,783","6"
"Jericó","05368","POINT (-75.786118 5.791557)","SUROESTE","8","2006","Suicidios","Poblacion total","14,278","3"
"La Ceja","05376","POINT (-75.431681 6.030682)","ORIENTE","7","2006","Suicidios","Poblacion total","51,714","3"
"La Estrella","05380","POINT (-75.643382 6.157644)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","56,603","2"
"La Pintada","05390","POINT (-75.606525 5.747143)","SUROESTE","8","2006","Suicidios","Poblacion total","9,845","0"
"La Unión","05400","POINT (-75.361241 5.973832)","ORIENTE","7","2006","Suicidios","Poblacion total","18,805","1"
"Liborina","05411","POINT (-75.811313 6.67786)","OCCIDENTE","6","2006","Suicidios","Poblacion total","10,451","0"
"Maceo","05425","POINT (-74.673429 6.530691)","MAGDALENA MEDIO","3","2006","Suicidios","Poblacion total","8,632","1"
"Marinilla","05440","POINT (-75.334772 6.173718)","ORIENTE","7","2006","Suicidios","Poblacion total","53,126","3"
"Medellín","05001","POINT (-75.564739 6.253104)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","2,074,195","126"
"Montebello","05467","POINT (-75.524621 5.945694)","SUROESTE","8","2006","Suicidios","Poblacion total","7,709","0"
"Murindó","05475","POINT (-76.82131 6.981328)","URABA","9","2006","Suicidios","Poblacion total","3,692","0"
"Mutatá","05480","POINT (-76.436928 7.245319)","URABA","9","2006","Suicidios","Poblacion total","12,305","1"
"Nariño","05483","POINT (-75.176323 5.609727)","ORIENTE","7","2006","Suicidios","Poblacion total","12,443","0"
"Nechí","05495","POINT (-74.775013 8.095003)","BAJO CAUCA","2","2006","Suicidios","Poblacion total","20,578","0"
"Necoclí","05490","POINT (-76.786829 8.424299)","URABA","9","2006","Suicidios","Poblacion total","36,835","1"
"Olaya","05501","POINT (-75.81238 6.628142)","OCCIDENTE","6","2006","Suicidios","Poblacion total","3,170","0"
"Peque","05543","POINT (-75.908927 7.021696)","OCCIDENTE","6","2006","Suicidios","Poblacion total","7,831","0"
"Pueblorrico","05576","POINT (-75.841914 5.790844)","SUROESTE","8","2006","Suicidios","Poblacion total","8,955","3"
"Puerto Berrío","05579","POINT (-74.402022 6.490753)","MAGDALENA MEDIO","3","2006","Suicidios","Poblacion total","35,049","1"
